"sample_id","taxa","NO_ORIGI","NO_BLOC","ring_year","ew_width","lw_width","lw_percentage","BAI","BAI_Ew","BAI_Lw","avg_density","ew_avg_density","lw_avg_density","period"
"782702","EPRxEPN","20908","11",2003,2.16,0.86,28.476821192053,110.056273840558,72.8799230150375,37.1763508255202,478.486754966887,448.7,553.3,"early"
"782702","EPRxEPN","20908","11",2004,2.71,0.39,12.5806451612903,172.573967646994,147.542699860987,25.0312677860074,462.46935483871,438,632.5,"early"
"782702","EPRxEPN","20908","11",2005,3.7,0.13,3.39425587467363,296.596191629086,285.01785190428,11.5783397248052,474.762924281984,474.6,479.4,"early"
"782702","EPRxEPN","20908","11",2006,3.86,0.51,11.6704805491991,450.989762589756,392.172550769982,58.8172118197735,436.687643020595,408.2,652.3,"early"
"782702","EPRxEPN","20908","11",2007,3.89,0.61,13.5555555555556,589.802604784948,502.396899817507,87.4057049674406,421.252888888889,398.1,568.9,"early"
"782702","EPRxEPN","20908","11",2008,2.78,0.45,13.9318885448916,501.78617420565,427.947751272002,73.8384229336477,392.199690402477,363.5,569.5,"early"
"782702","EPRxEPN","20908","11",2009,2.87,0.55,16.0818713450292,602.752249703044,500.85940437284,101.892845330205,398.89649122807,360.3,600.3,"early"
"782702","EPRxEPN","20908","11",2010,2.75,0.5,15.3846153846154,640.892755313952,537.97417998235,102.918575331602,423.438461538462,388.1,617.8,"early"
"782702","EPRxEPN","20908","11",2011,2.55,0.38,12.9692832764505,634.675543452498,549.318471054463,85.3570723980347,435.596928327645,411.5,597.3,"late"
"782702","EPRxEPN","20908","11",2012,2.97,0.52,14.8997134670487,826.368615670709,698.390184059952,127.978431610757,414.694842406877,375.3,639.7,"late"
"782702","EPRxEPN","20908","11",2013,2.62,0.34,11.4864864864865,760.853528313482,670.65965986598,90.1938684475015,390.693243243243,365.4,585.6,"late"
"782702","EPRxEPN","20908","11",2014,1.92,0.2,9.43396226415094,578.76933138554,522.962079487171,55.8072518983691,380.564150943396,358.3,594.3,"late"
"782702","EPRxEPN","20908","11",2015,1.34,0.18,11.8421052631579,432.348494261151,380.391578319021,51.9569159421294,407.590789473684,372.1,671.8,"late"
"782702","EPRxEPN","20908","11",2016,1.35,0.28,17.1779141104295,479.767379615168,396.16582919196,83.6015504232087,410.106748466258,366.2,621.8,"late"
"782702","EPRxEPN","20908","11",2017,1.91,0.28,12.7853881278539,670.877372236875,583.422972583303,87.4543996535712,389.000913242009,349.2,660.5,"late"
"782702","EPRxEPN","20908","11",2018,1.6,0.36,18.3673469387755,625.973645961319,509.189337293834,116.784308667486,397.589795918367,359.9,565.1,"late"
"782702","EPRxEPN","20908","11",2019,1.8,0.39,17.8082191780822,727.982101901176,596.136055574585,131.846046326591,390.195890410959,353.6,559.1,"late"
"782704","EPN","20914","11",2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,"early"
"782704","EPN","20914","11",2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,"early"
"782704","EPN","20914","11",2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,"early"
"782704","EPN","20914","11",2006,5.83,0.69,10.5828220858896,782.867296355716,687.380158446181,95.487137909535,461.899846625767,436.3,678.2,"early"
"782704","EPN","20914","11",2007,3.38,1.1,24.5535714285714,692.73877303541,510.966222098704,181.772550936705,475.867857142857,419.1,650.3,"early"
"782704","EPN","20914","11",2008,4.5,0.56,11.0671936758893,934.075920684177,822.783115975167,111.292804709011,439.528853754941,407.6,696.1,"early"
"782704","EPN","20914","11",2009,3.25,0.26,7.40740740740741,742.447251115366,684.796512647869,57.6507384674956,357.718518518519,333.8,656.7,"early"
"782704","EPN","20914","11",2010,2.35,0.34,12.639405204461,621.39351803165,540.342940843157,81.0505771884938,417.188475836431,379.7,676.3,"early"
"782704","EPN","20914","11",2011,2.23,0.42,15.8490566037736,656.610143359861,549.601214393286,107.008928966576,389.691698113208,344.3,630.7,"late"
"782704","EPN","20914","11",2012,2.42,0.42,14.7887323943662,752.670307769411,638.166795368432,114.503512400979,398.654929577465,352.1,666.9,"late"
"782704","EPN","20914","11",2013,1.64,0.44,21.1538461538462,583.401295593995,457.722509805664,125.678785788329,379.569230769231,310.1,638.5,"late"
"782704","EPN","20914","11",2014,1.74,0.36,17.1428571428571,616.587823749455,508.919160325625,107.668663423829,383.82,341.1,590.3,"late"
"782704","EPN","20914","11",2015,1.59,0.3,15.8730158730159,578.620105734492,485.277104811035,93.3430009234599,409.471428571429,359.9,672.2,"late"
"782704","EPN","20914","11",2016,1.22,0.4,24.6913580246914,513.823814776411,385.420639838887,128.403174937522,428.833333333333,339.5,701.3,"late"
"782704","EPN","20914","11",2017,1.16,0.22,15.9420289855072,450.707961728727,378.05423338475,72.653728343979,371.697101449275,297.2,764.5,"late"
"782704","EPN","20914","11",2018,0.77,0.36,31.858407079646,377.968467905308,256.682885283758,121.285582621549,425.673451327434,291.9,711.8,"late"
"782704","EPN","20914","11",2019,0.88,0.3,25.4237288135593,403.256089651847,299.90397453405,103.352115117797,411.540677966102,314.6,695.9,"late"
"782705","EPN","20914","11",2003,1.2,0.65,35.1351351351351,44.1126732453812,26.1631836190958,17.9494896262853,561.318918918919,531.7,616,"early"
